LocationID,zscore
1,-10868.396196145797 / ((sqrt(-43143513.928571425 - 686575000717.4745)) * sqrt(0.07661622203306107 / 13))
2,-99423.47839793249 / ((sqrt(-90076132.5909091 - 355285735422.25)) * sqrt(0.2758932109640273 / 21))
3,37123.42247215501 / ((sqrt(125741693 - 198089975329)) * sqrt(0.04593687551070447 / 10))
4,35800.87280577357 / ((sqrt(718517773.6923077 - 371256613822.86395)) * sqrt(0.049257679212263206 / 12))
5,24998.870876031986 / ((sqrt(-472087852.0833333 - 351370839196.0069)) * sqrt(0.0562309405314918 / 11))
6,-39217.26793003082 / ((sqrt(-220864416.23809522 - 368061026853.4445)) * sqrt(0.22250053914502632 / 20))
7,-23057.761965068057 / ((sqrt(132212977.875 - 330741663414.5664)) * sqrt(0.4724621304965808 / 31))
8,-4857.24777106056 / ((sqrt(-445638371.6666667 - 2993763909000.1113)) * sqrt(5.20008010779921E-05 / 2))
9,22087.42567837867 / ((sqrt(-20512335.307692308 - 431928725149.63904)) * sqrt(0.3058957116087271 / 25))
10,-33717.672951511864 / ((sqrt(389284476 - 2311272562369)) * sqrt(0.0029537186606862775 / 3))
11,9675.965078617563 / ((sqrt(-256206091.4117647 - 436625233129.46704)) * sqrt(0.21733767379295033 / 16))
12,-4284.1668978698435 / ((sqrt(-80551014.14285715 - 788799510980.5919)) * sqrt(0.010574174001035247 / 6))
13,92061.54967811983 / ((sqrt(295805716.34375 - 472449721784.42285)) * sqrt(0.3746545502438785 / 31))
14,46647.19132598175 / ((sqrt(542077556.1428572 - 502494651559.1837)) * sqrt(0.041427347060635444 / 13))
15,-21314.186484490172 / ((sqrt(161331915.9 - 159677362812.25)) * sqrt(0.05899078839688848 / 9))
16,2016.3691136031994 / ((sqrt(-534198151.4285714 - 644131446084)) * sqrt(0.01026814771916243 / 6))
17,-17245.185990154278 / ((sqrt(-188892228.63157895 - 391962063251.0693)) * sqrt(0.18117122708230204 / 18))
18,-54990.3788082964 / ((sqrt(84704270 - 561099497823.0625)) * sqrt(0.0626741201958172 / 15))
19,27431.227679510484 / ((sqrt(785103346.2 - 724474707456.6401)) * sqrt(0.02955949613070341 / 9))
20,-20316.20530540275 / ((sqrt(-16365545 - 237061547506.7778)) * sqrt(0.003478456821983427 / 2))
21,-27263.83390486194 / ((sqrt(85420129.86666666 - 570276392377.8177)) * sqrt(0.42102339352586204 / 29))
22,-34353.51523645106 / ((sqrt(-132821393.36363636 - 392814764818.5868)) * sqrt(0.3586970009649806 / 21))
23,5446.92957310495 / ((sqrt(-415245382.5 - 292519668988.2656)) * sqrt(0.10331118018916574 / 15))
24,-16644.457069182397 / ((sqrt(-134208295.33333333 - 139406650384)) * sqrt(0.008004540089376004 / 2))
25,-288.1699961750419 / ((sqrt(651459780.3333334 - 874430088693.4443)) * sqrt(0.0007890083829199049 / 2))
26,-13010.756776495371 / ((sqrt(263058168.7 - 802612620882.25)) * sqrt(0.13002358991585639 / 19))
27,-9635.039128139819 / ((sqrt(119158293.08333333 - 65430272010.00694)) * sqrt(0.059711709596632745 / 11))
28,57623.34504511044 / ((sqrt(107911511.97142857 - 469865634801.8947)) * sqrt(0.6123749166192911 / 34))
29,-98568.41608548933 / ((sqrt(143263362.15625 - 517109888656.2197)) * sqrt(0.40577858771620745 / 31))
30,24019.385543071025 / ((sqrt(149958792 - 680910149859.8401)) * sqrt(0.007548053488001791 / 4))
31,-65737.14597636939 / ((sqrt(205469775.1 - 551067339388.8099)) * sqrt(0.05284469415236637 / 9))
32,3211.6251102204187 / ((sqrt(-838836999 - 212767245289)) * sqrt(0.0010598341301242585 / 1))
33,-6468.879916537262 / ((sqrt(17622616.75 - 503909028090.25)) * sqrt(0.012648320637330845 / 7))
34,-12403.04453754716 / ((sqrt(252393883.85714287 - 912661140889)) * sqrt(0.12319760857939654 / 13))
35,16061.049631237052 / ((sqrt(243594853.55555555 - 610836149386.6721)) * sqrt(0.27583727635740596 / 26))
36,-59199.66906316322 / ((sqrt(75055696 - 462353676160.2539)) * sqrt(0.5413207936755233 / 31))
37,121.86771993513685 / ((sqrt(225350507.5625 - 724745848815.0039)) * sqrt(0.10477024953976855 / 15))
38,8503.192816605035 / ((sqrt(225212290 - 333528639606.53253)) * sqrt(0.11139891668413288 / 12))
39,-12089.79569235898 / ((sqrt(-254844793.85714287 - 478160461644.0839)) * sqrt(0.2072055352537563 / 20))
40,4420.703134455951 / ((sqrt(315021796.2307692 - 254763632385.94678)) * sqrt(0.12749427645011735 / 12))
41,20051.353725545923 / ((sqrt(357146895.1 - 276490773811.21)) * sqrt(0.02248898498223234 / 9))
42,7451.793048228486 / ((sqrt(137264527.03225806 - 397926139805.307)) * sqrt(0.5931820305107536 / 30))
43,57422.68017522938 / ((sqrt(-147251706.2 - 516285073488.04004)) * sqrt(0.12496412017691588 / 14))
44,-61438.267318336526 / ((sqrt(92891404.6875 - 443390764141.5039)) * sqrt(0.08916859627389984 / 15))
45,74605.64803781675 / ((sqrt(145632852.7142857 - 386723066834.66895)) * sqrt(0.1612776814244361 / 20))
46,0 / ((sqrt(2064958884 - 1707166975396)) * sqrt(0 / 0))
47,14726.604697755596 / ((sqrt(-221862897.5 - 274423886406.69443)) * sqrt(0.08376242935391676 / 11))
